write_operation;dataset_size;versioning_mode;query_type;procedure_to_evaluate;Increment;memory_in_MB;Memory_in_MB_instances;time_in_seconds;cnt_triples_dataset;cnt_triples_db
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;1;11.598941802978516;0.02060985565185547;0.3204844100109767;6899;244824
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;2;23.93952465057373;0.02060985565185547;0.5727885570086073;14317;267078
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;3;36.2750358581543;0.02060985565185547;0.818711362007889;21735;289332
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;4;48.51922416687012;0.02060985565185547;1.0640780270041432;29153;311586
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;5;60.87260818481445;0.02060985565185547;1.3018969550030306;36571;333840
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;6;73.20024681091309;0.02060985565185547;1.5920978220092366;43989;356094
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;7;85.51052284240723;0.02060985565185547;1.752261093002744;51407;378348
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;8;97.80233573913574;0.02060985565185547;2.101472686001216;58825;400602
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;9;110.03977584838867;0.02060985565185547;2.200686008000048;66243;422856
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;10;122.3244686126709;0.02060985565185547;2.6282127590093296;73661;445110
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;1;11.482571601867676;0.021155357360839844;0.35625909600639716;6899;244824
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;2;11.702310562133789;0.021155357360839844;0.35622701900138054;6899;267078
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;3;11.475379943847656;0.021155357360839844;0.4653016329975799;6899;289332
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;4;11.698040962219238;0.021155357360839844;0.45045795998885296;6899;311586
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;5;11.56341552734375;0.021155357360839844;0.49373868299880996;6899;333840
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;6;11.685538291931152;0.021155357360839844;0.6076664800057188;6899;356094
