write_operation;dataset_size;versioning_mode;query_type;procedure_to_evaluate;Increment;memory_in_MB;Memory_in_MB_instances;time_in_seconds;cnt_triples_dataset;cnt_triples_db
timestamped_insert;big;q_perf;simple_query;retrieve_live_data;1;225.68085956573486;0.020508766174316406;7.611762090004049;137241;4528971
timestamped_insert;big;q_perf;simple_query;retrieve_live_data;2;451.35949516296387;0.020508766174316406;11.256423415004974;274482;4940694
timestamped_insert;big;q_perf;simple_query;retrieve_live_data;3;676.8593063354492;0.020508766174316406;15.774873721995391;411723;5352417
timestamped_insert;big;q_perf;simple_query;retrieve_live_data;4;902.7586603164673;0.020508766174316406;20.409870855975896;548964;5764140
timestamped_insert;big;q_perf;simple_query;retrieve_live_data;5;1128.5169353485107;0.020508766174316406;24.263896810996812;686205;6175863
timestamped_insert;big;q_perf;simple_query;retrieve_live_data;6;1353.7792253494263;0.020508766174316406;28.64389253000263;823446;6587586
timestamped_insert;big;q_perf;simple_query;retrieve_live_data;7;1579.127088546753;0.020508766174316406;33.626014865003526;960687;6999309
timestamped_insert;big;q_perf;simple_query;retrieve_live_data;8;1805.625241279602;0.020508766174316406;37.85686578601599;1097928;7411032
timestamped_insert;big;q_perf;simple_query;retrieve_live_data;9;2031.3211212158203;0.020508766174316406;41.571643434028374;1235169;7822755
timestamped_insert;big;q_perf;simple_query;retrieve_live_data;10;2255.856644630432;0.020508766174316406;46.40143904698198;1372410;8234478
timestamped_insert;big;q_perf;simple_query;retrieve_history_data;1;225.67551136016846;0.020585060119628906;6.7740481209766585;137241;4528971
timestamped_insert;big;q_perf;simple_query;retrieve_history_data;2;225.67587089538574;0.020585060119628906;7.790625377005199;137241;4940694
timestamped_insert;big;q_perf;simple_query;retrieve_history_data;3;225.6800594329834;0.020585060119628906;8.700195908022579;137241;5352417
timestamped_insert;big;q_perf;simple_query;retrieve_history_data;4;225.6772289276123;0.020585060119628906;9.914011572021991;137241;5764140
timestamped_insert;big;q_perf;simple_query;retrieve_history_data;5;225.67338371276855;0.020585060119628906;11.020163678011158;137241;6175863
timestamped_insert;big;q_perf;simple_query;retrieve_history_data;6;225.67338371276855;0.020585060119628906;12.164391078986228;137241;6587586
timestamped_insert;big;q_perf;simple_query;retrieve_history_data;7;225.67619132995605;0.020585060119628906;13.264485847990727;137241;6999309
timestamped_insert;big;q_perf;simple_query;retrieve_history_data;8;225.6800594329834;0.020585060119628906;14.24979381400044;137241;7411032
timestamped_insert;big;q_perf;simple_query;retrieve_history_data;9;225.6772289276123;0.020585060119628906;15.3860613249999;137241;7822755
timestamped_insert;big;q_perf;simple_query;retrieve_history_data;10;225.6740016937256;0.020585060119628906;16.65312498100684;137241;8234478
timestamped_insert;big;q_perf;complex_query;retrieve_live_data;1;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_live_data;2;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_live_data;3;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_live_data;4;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_live_data;5;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_live_data;6;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_live_data;7;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_live_data;8;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_live_data;9;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_live_data;10;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_history_data;1;303.54673767089844;0.020920753479003906;9.578232594009023;137305;4528971
timestamped_insert;big;q_perf;complex_query;retrieve_history_data;2;303.54737091064453;0.020920753479003906;10.670118117996026;137305;4940694
timestamped_insert;big;q_perf;complex_query;retrieve_history_data;3;303.54925537109375;0.020920753479003906;11.778483900998253;137305;5352417
timestamped_insert;big;q_perf;complex_query;retrieve_history_data;4;303.5455856323242;0.020920753479003906;12.965101500012679;137305;5764140
timestamped_insert;big;q_perf;complex_query;retrieve_history_data;5;303.5486373901367;0.020920753479003906;13.954127471981337;137305;6175863
timestamped_insert;big;q_perf;complex_query;retrieve_history_data;6;303.54061126708984;0.020920753479003906;16.83592840100755;137305;6587586
timestamped_insert;big;q_perf;complex_query;retrieve_history_data;7;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_history_data;8;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_history_data;9;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_history_data;10;;;;;
timestamped_insert;big;mem_sav;simple_query;retrieve_live_data;1;225.80250644683838;0.02091693878173828;7.254537986009382;137241;3019314
timestamped_insert;big;mem_sav;simple_query;retrieve_live_data;2;451.35877323150635;0.02091693878173828;12.375008233997505;274482;3431037
timestamped_insert;big;mem_sav;simple_query;retrieve_live_data;3;676.8538589477539;0.02091693878173828;17.714021893014433;411723;3842760
timestamped_insert;big;mem_sav;simple_query;retrieve_live_data;4;902.7594518661499;0.02091693878173828;22.86147269999492;548964;4254483
timestamped_insert;big;mem_sav;simple_query;retrieve_live_data;5;1128.5091533660889;0.02091693878173828;27.850851168012014;686205;4666206
timestamped_insert;big;mem_sav;simple_query;retrieve_live_data;6;1353.7715406417847;0.02091693878173828;33.078425886982586;823446;5077929
