write_operation;dataset_size;versioning_mode;query_type;procedure_to_evaluate;Increment;memory_in_MB;Memory_in_MB_instances;time_in_seconds;cnt_triples_dataset;cnt_triples_db
timestamped_insert;big;q_perf;simple_query;retrieve_live_data;1;225.66921138763428;0.795069694519043;7.758761682998738;137241;4528971
timestamped_insert;big;q_perf;simple_query;retrieve_live_data;2;451.35844707489014;0.795069694519043;14.972573307008133;274482;4940694
timestamped_insert;big;q_perf;simple_query;retrieve_live_data;3;676.8624334335327;0.795069694519043;22.32914797999547;411723;5352417
timestamped_insert;big;q_perf;simple_query;retrieve_live_data;4;902.7576475143433;0.795069694519043;20.03788259200519;548964;5764140
timestamped_insert;big;q_perf;simple_query;retrieve_live_data;5;1128.5173606872559;0.795069694519043;24.484480077997432;686205;6175863
timestamped_insert;big;q_perf;simple_query;retrieve_live_data;6;1353.7773904800415;0.795069694519043;28.52901893098897;823446;6587586
timestamped_insert;big;q_perf;simple_query;retrieve_live_data;7;1579.1260681152344;0.795069694519043;33.45753833100025;960687;6999309
timestamped_insert;big;q_perf;simple_query;retrieve_live_data;8;1805.6178102493286;0.795069694519043;37.200309469990316;1097928;7411032
timestamped_insert;big;q_perf;simple_query;retrieve_live_data;9;2031.3224925994873;0.795069694519043;42.5418036129995;1235169;7822755
timestamped_insert;big;q_perf;simple_query;retrieve_live_data;10;2255.855101585388;0.795069694519043;46.2927692860103;1372410;8234478
timestamped_insert;big;q_perf;simple_query;retrieve_history_data;1;225.67959690093994;0.021134376525878906;6.767265186004806;137241;4528971
timestamped_insert;big;q_perf;simple_query;retrieve_history_data;2;225.67756366729736;0.021134376525878906;7.926756451008259;137241;4940694
timestamped_insert;big;q_perf;simple_query;retrieve_history_data;3;225.67348670959473;0.021134376525878906;9.028857532000984;137241;5352417
timestamped_insert;big;q_perf;simple_query;retrieve_history_data;4;225.67637634277344;0.021134376525878906;10.16005259200756;137241;5764140
timestamped_insert;big;q_perf;simple_query;retrieve_history_data;5;225.6804370880127;0.021134376525878906;11.21288359600294;137241;6175863
timestamped_insert;big;q_perf;simple_query;retrieve_history_data;6;225.67733192443848;0.021134376525878906;12.373226227995474;137241;6587586
timestamped_insert;big;q_perf;simple_query;retrieve_history_data;7;225.67755317687988;0.021134376525878906;13.457185291001224;137241;6999309
timestamped_insert;big;q_perf;simple_query;retrieve_history_data;8;225.67348670959473;0.021134376525878906;14.664436760998797;137241;7411032
timestamped_insert;big;q_perf;simple_query;retrieve_history_data;9;225.67348670959473;0.021134376525878906;15.674606272004894;137241;7822755
timestamped_insert;big;q_perf;simple_query;retrieve_history_data;10;225.68038368225098;0.021134376525878906;16.755424415998277;137241;8234478
timestamped_insert;big;q_perf;complex_query;retrieve_live_data;1;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_live_data;2;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_live_data;3;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_live_data;4;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_live_data;5;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_live_data;6;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_live_data;7;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_live_data;8;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_live_data;9;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_live_data;10;;;;;
timestamped_insert;big;q_perf;complex_query;retrieve_history_data;1;303.5496063232422;0.02058887481689453;9.681283179990714;137305;4528971
timestamped_insert;big;q_perf;complex_query;retrieve_history_data;2;303.54500579833984;0.02058887481689453;10.842603092009085;137305;4940694
timestamped_insert;big;q_perf;complex_query;retrieve_history_data;3;303.5486373901367;0.02058887481689453;11.93033487899811;137305;5352417
timestamped_insert;big;q_perf;complex_query;retrieve_history_data;4;303.54061126708984;0.02058887481689453;13.015714908004156;137305;5764140
timestamped_insert;big;q_perf;complex_query;retrieve_history_data;5;303.54222106933594;0.02058887481689453;14.185036294002202;137305;6175863
timestamped_insert;big;q_perf;complex_query;retrieve_history_data;6;303.54222106933594;0.02058887481689453;15.107918263995089;137305;6587586
timestamped_insert;big;q_perf;complex_query;retrieve_history_data;7;303.54661560058594;0.02058887481689453;16.32046717799676;137305;6999309
timestamped_insert;big;q_perf;complex_query;retrieve_history_data;8;303.54661560058594;0.02058887481689453;17.108875842997804;137305;7411032
timestamped_insert;big;q_perf;complex_query;retrieve_history_data;9;303.5429153442383;0.02058887481689453;18.30998801899841;137305;7822755
timestamped_insert;big;q_perf;complex_query;retrieve_history_data;10;303.5458526611328;0.02058887481689453;19.364414140000008;137305;8234478
timestamped_insert;big;mem_sav;simple_query;retrieve_live_data;1;225.80280590057373;0.020585060119628906;7.165935392986285;137241;3019314
timestamped_insert;big;mem_sav;simple_query;retrieve_live_data;2;451.3593912124634;0.020585060119628906;12.48517030099174;274482;3431037
timestamped_insert;big;mem_sav;simple_query;retrieve_live_data;3;676.8538770675659;0.020585060119628906;17.256040748994565;411723;3842760
timestamped_insert;big;mem_sav;simple_query;retrieve_live_data;4;902.759373664856;0.020585060119628906;23.056384288996924;548964;4254483
timestamped_insert;big;mem_sav;simple_query;retrieve_live_data;5;1128.509916305542;0.020585060119628906;27.92832934600301;686205;4666206
timestamped_insert;big;mem_sav;simple_query;retrieve_live_data;6;1353.7725534439087;0.020585060119628906;32.404850564998924;823446;5077929
timestamped_insert;big;mem_sav;simple_query;retrieve_live_data;7;1579.1334190368652;0.020585060119628906;38.24140516400803;960687;5489652
timestamped_insert;big;mem_sav;simple_query;retrieve_live_data;8;1805.6241102218628;0.020585060119628906;43.872264259000076;1097928;5901375
timestamped_insert;big;mem_sav;simple_query;retrieve_live_data;9;2031.3195171356201;0.020585060119628906;52.41014792700298;1235169;6313098
timestamped_insert;big;mem_sav;simple_query;retrieve_live_data;10;2255.855441093445;0.020585060119628906;59.82839108000917;1372410;6724821
timestamped_insert;big;mem_sav;simple_query;retrieve_history_data;1;225.68054676055908;0.020585060119628906;7.041587104991777;137241;3019314
timestamped_insert;big;mem_sav;simple_query;retrieve_history_data;2;225.67886924743652;0.020585060119628906;8.900508216000162;137241;3431037
timestamped_insert;big;mem_sav;simple_query;retrieve_history_data;3;225.67349815368652;0.020585060119628906;10.785258281001006;137241;3842760
timestamped_insert;big;mem_sav;simple_query;retrieve_history_data;4;225.67341423034668;0.020585060119628906;12.659335488002398;137241;4254483
timestamped_insert;big;mem_sav;simple_query;retrieve_history_data;5;225.67622184753418;0.020585060119628906;14.489878966996912;137241;4666206
timestamped_insert;big;mem_sav;simple_query;retrieve_history_data;6;225.68036460876465;0.020585060119628906;16.467360558992368;137241;5077929
timestamped_insert;big;mem_sav;simple_query;retrieve_history_data;7;225.67725944519043;0.020585060119628906;18.124556791997747;137241;5489652
timestamped_insert;big;mem_sav;simple_query;retrieve_history_data;8;225.67748069763184;0.020585060119628906;19.921545482997317;137241;5901375
timestamped_insert;big;mem_sav;simple_query;retrieve_history_data;9;225.67341423034668;0.020585060119628906;21.91275643699919;137241;6313098
timestamped_insert;big;mem_sav;simple_query;retrieve_history_data;10;225.67341423034668;0.020585060119628906;23.823586960003013;137241;6724821
timestamped_insert;big;mem_sav;complex_query;retrieve_live_data;1;303.54315185546875;0.02058887481689453;10.611182102002203;137305;3019314
timestamped_insert;big;mem_sav;complex_query;retrieve_live_data;2;303.54484844207764;0.02058887481689453;13.680737659989973;137305;3431037
timestamped_insert;big;mem_sav;complex_query;retrieve_live_data;3;303.5431900024414;0.02058887481689453;16.60104671199224;137305;3842760
timestamped_insert;big;mem_sav;complex_query;retrieve_live_data;4;304.3970603942871;0.02058887481689453;19.616646262002178;137305;4254483
timestamped_insert;big;mem_sav;complex_query;retrieve_live_data;5;304.3970603942871;0.02058887481689453;22.4609567370062;137305;4666206
timestamped_insert;big;mem_sav;complex_query;retrieve_live_data;6;304.39809799194336;0.02058887481689453;25.563622996996855;137305;5077929
timestamped_insert;big;mem_sav;complex_query;retrieve_live_data;7;304.4021873474121;0.02058887481689453;28.18614236000576;137305;5489652
timestamped_insert;big;mem_sav;complex_query;retrieve_live_data;8;304.4013328552246;0.02058887481689453;31.14655278500868;137305;5901375
timestamped_insert;big;mem_sav;complex_query;retrieve_live_data;9;304.4013328552246;0.02058887481689453;33.963935145002324;137305;6313098
timestamped_insert;big;mem_sav;complex_query;retrieve_live_data;10;304.4029960632324;0.02058887481689453;37.013967788006994;137305;6724821
timestamped_insert;big;mem_sav;complex_query;retrieve_history_data;1;303.5475244522095;0.0216827392578125;10.012678304992733;137305;3019314
timestamped_insert;big;mem_sav;complex_query;retrieve_history_data;2;303.5458354949951;0.0216827392578125;12.12953266898694;137305;3431037
timestamped_insert;big;mem_sav;complex_query;retrieve_history_data;3;303.54308128356934;0.0216827392578125;13.87036647000059;137305;3842760
timestamped_insert;big;mem_sav;complex_query;retrieve_history_data;4;303.5462169647217;0.0216827392578125;15.909513689999585;137305;4254483
timestamped_insert;big;mem_sav;complex_query;retrieve_history_data;5;303.54725456237793;0.0216827392578125;17.539270455003134;137305;4666206
timestamped_insert;big;mem_sav;complex_query;retrieve_history_data;6;303.5476589202881;0.0216827392578125;19.587674946000334;137305;5077929
timestamped_insert;big;mem_sav;complex_query;retrieve_history_data;7;303.54968070983887;0.0216827392578125;21.432562753994716;137305;5489652
timestamped_insert;big;mem_sav;complex_query;retrieve_history_data;8;303.54725456237793;0.0216827392578125;22.980213889008155;137305;5901375
timestamped_insert;big;mem_sav;complex_query;retrieve_history_data;9;303.54773330688477;0.0216827392578125;24.9384199979977;137305;6313098
timestamped_insert;big;mem_sav;complex_query;retrieve_history_data;10;303.54968070983887;0.0216827392578125;26.89538249799807;137305;6724821
timestamped_update;big;q_perf;simple_query;retrieve_live_data;1;225.89889335632324;0.027378082275390625;7.070554897014517;137241;4528971
timestamped_update;big;q_perf;simple_query;retrieve_live_data;2;225.8043270111084;0.027378082275390625;9.00305677599681;137241;4940694
timestamped_update;big;q_perf;simple_query;retrieve_live_data;3;225.67144203186035;0.027378082275390625;11.159087781998096;137241;5352417
timestamped_update;big;q_perf;simple_query;retrieve_live_data;4;225.6756591796875;0.027378082275390625;13.062705980002647;137241;5764140
timestamped_update;big;q_perf;simple_query;retrieve_live_data;5;225.6800937652588;0.027378082275390625;15.070719677998568;137241;6175863
timestamped_update;big;q_perf;simple_query;retrieve_live_data;6;225.6733741760254;0.027378082275390625;16.97585924399027;137241;6587586
timestamped_update;big;q_perf;simple_query;retrieve_live_data;7;225.67390632629395;0.027378082275390625;19.218180832991493;137241;6999309
timestamped_update;big;q_perf;simple_query;retrieve_live_data;8;225.68024444580078;0.027378082275390625;20.52326988900313;137241;7411032
timestamped_update;big;q_perf;simple_query;retrieve_live_data;9;225.6782512664795;0.027378082275390625;22.356265905007604;137241;7822755
timestamped_update;big;q_perf;simple_query;retrieve_live_data;10;225.67376136779785;0.027378082275390625;24.461301429997548;137241;8234478
timestamped_update;big;q_perf;simple_query;retrieve_history_data;1;225.681658744812;0.020585060119628906;6.791651245992398;137241;4528971
timestamped_update;big;q_perf;simple_query;retrieve_history_data;2;225.68174648284912;0.020585060119628906;7.738887186002103;137241;4940694
timestamped_update;big;q_perf;simple_query;retrieve_history_data;3;225.67943954467773;0.020585060119628906;8.867900201003067;137241;5352417
timestamped_update;big;q_perf;simple_query;retrieve_history_data;4;225.67428970336914;0.020585060119628906;9.932799412999884;137241;5764140
timestamped_update;big;q_perf;simple_query;retrieve_history_data;5;225.6742057800293;0.020585060119628906;11.19623560400214;137241;6175863
timestamped_update;big;q_perf;simple_query;retrieve_history_data;6;225.6770133972168;0.020585060119628906;12.28346438499284;137241;6587586
timestamped_update;big;q_perf;simple_query;retrieve_history_data;7;225.68115615844727;0.020585060119628906;13.311404102001688;137241;6999309
timestamped_update;big;q_perf;simple_query;retrieve_history_data;8;225.67805099487305;0.020585060119628906;14.539491640010965;137241;7411032
timestamped_update;big;q_perf;simple_query;retrieve_history_data;9;225.67827224731445;0.020585060119628906;15.756384694992448;137241;7822755
timestamped_update;big;q_perf;simple_query;retrieve_history_data;10;225.6742057800293;0.020585060119628906;17.099114828990423;137241;8234478
timestamped_update;big;q_perf;complex_query;retrieve_live_data;1;;;;;
timestamped_update;big;q_perf;complex_query;retrieve_live_data;2;;;;;
timestamped_update;big;q_perf;complex_query;retrieve_live_data;3;;;;;
timestamped_update;big;q_perf;complex_query;retrieve_live_data;4;;;;;
timestamped_update;big;q_perf;complex_query;retrieve_live_data;5;;;;;
timestamped_update;big;q_perf;complex_query;retrieve_live_data;6;;;;;
timestamped_update;big;q_perf;complex_query;retrieve_live_data;7;;;;;
timestamped_update;big;q_perf;complex_query;retrieve_live_data;8;;;;;
timestamped_update;big;q_perf;complex_query;retrieve_live_data;9;;;;;
timestamped_update;big;q_perf;complex_query;retrieve_live_data;10;;;;;
timestamped_update;big;q_perf;complex_query;retrieve_history_data;1;;;;;
timestamped_update;big;q_perf;complex_query;retrieve_history_data;2;;;;;
timestamped_update;big;q_perf;complex_query;retrieve_history_data;3;;;;;
timestamped_update;big;q_perf;complex_query;retrieve_history_data;4;;;;;
timestamped_update;big;q_perf;complex_query;retrieve_history_data;5;;;;;
timestamped_update;big;q_perf;complex_query;retrieve_history_data;6;;;;;
timestamped_update;big;q_perf;complex_query;retrieve_history_data;7;;;;;
timestamped_update;big;q_perf;complex_query;retrieve_history_data;8;;;;;
timestamped_update;big;q_perf;complex_query;retrieve_history_data;9;;;;;
timestamped_update;big;q_perf;complex_query;retrieve_history_data;10;;;;;
timestamped_update;big;mem_sav;simple_query;retrieve_live_data;1;225.67353343963623;0.02091693878173828;7.848849357993458;137241;3019314
timestamped_update;big;mem_sav;simple_query;retrieve_live_data;2;225.6797103881836;0.02091693878173828;9.230840916992747;137241;3431037
timestamped_update;big;mem_sav;simple_query;retrieve_live_data;3;225.67973709106445;0.02091693878173828;10.311109037007554;137241;3842760
timestamped_update;big;mem_sav;simple_query;retrieve_live_data;4;225.6785717010498;0.02091693878173828;11.475251358002424;137241;4254483
timestamped_update;big;mem_sav;simple_query;retrieve_live_data;5;225.67319869995117;0.02091693878173828;12.522178908009664;137241;4666206
timestamped_update;big;mem_sav;simple_query;retrieve_live_data;6;225.6738109588623;0.02091693878173828;13.810151960002258;137241;5077929
timestamped_update;big;mem_sav;simple_query;retrieve_live_data;7;225.6759147644043;0.02091693878173828;14.724850042999606;137241;5489652
timestamped_update;big;mem_sav;simple_query;retrieve_live_data;8;225.68078422546387;0.02091693878173828;15.889395918988157;137241;5901375
timestamped_update;big;mem_sav;simple_query;retrieve_live_data;9;225.6763153076172;0.02091693878173828;17.207732529990608;137241;6313098
timestamped_update;big;mem_sav;simple_query;retrieve_live_data;10;225.6762237548828;0.02091693878173828;18.150216873997124;137241;6724821
timestamped_update;big;mem_sav;simple_query;retrieve_history_data;1;225.68000411987305;0.02058887481689453;7.341539665008895;137241;3019314
timestamped_update;big;mem_sav;simple_query;retrieve_history_data;2;225.67914199829102;0.02058887481689453;9.011794638994616;137241;3431037
timestamped_update;big;mem_sav;simple_query;retrieve_history_data;3;225.67368698120117;0.02058887481689453;10.85847087300499;137241;3842760
timestamped_update;big;mem_sav;simple_query;retrieve_history_data;4;225.67368698120117;0.02058887481689453;12.894439694995526;137241;4254483
timestamped_update;big;mem_sav;simple_query;retrieve_history_data;5;225.68058395385742;0.02058887481689453;14.851117860991508;137241;4666206
timestamped_update;big;mem_sav;simple_query;retrieve_history_data;6;225.68036270141602;0.02058887481689453;16.601141681996523;137241;5077929
timestamped_update;big;mem_sav;simple_query;retrieve_history_data;7;225.6789207458496;0.02058887481689453;18.757438827989972;137241;5489652
timestamped_update;big;mem_sav;simple_query;retrieve_history_data;8;225.67377090454102;0.02058887481689453;20.82613884699822;137241;5901375
timestamped_update;big;mem_sav;simple_query;retrieve_history_data;9;225.67368698120117;0.02058887481689453;22.742982826996013;137241;6313098
timestamped_update;big;mem_sav;simple_query;retrieve_history_data;10;225.67649459838867;0.02058887481689453;24.662527355991188;137241;6724821
