write_operation;dataset_size;versioning_mode;query_type;procedure_to_evaluate;Increment;memory_in_MB;Memory_in_MB_instances;time_in_seconds;cnt_triples_dataset;cnt_triples_db
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;1;11.659626960754395;0.02060985565185547;0.35815416400146205;6899;244824
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;2;23.801525115966797;0.02060985565185547;0.5754376289987704;14317;267078
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;3;36.14993667602539;0.02060985565185547;0.7864313199970638;21735;289332
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;4;48.52592658996582;0.02060985565185547;1.0346832600043854;29153;311586
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;5;60.87625694274902;0.02060985565185547;1.2403968909929972;36571;333840
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;6;73.20694541931152;0.02060985565185547;1.4630358290014556;43989;356094
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;7;85.50819206237793;0.02060985565185547;1.7057228429912357;51407;378348
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;8;97.7934513092041;0.02060985565185547;1.9238625860016327;58825;400602
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;9;110.04679679870605;0.02060985565185547;2.192894210005761;66243;422856
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;10;122.32202339172363;0.02060985565185547;2.395971965001081;73661;445110
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;1;11.482819557189941;0.020606040954589844;0.29758013699029107;6899;244824
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;2;11.59707260131836;0.020606040954589844;0.33304460800718516;6899;267078
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;3;11.474430084228516;0.020606040954589844;0.39392853899335023;6899;289332
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;4;11.595508575439453;0.020606040954589844;0.4288992679939838;6899;311586
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;5;11.570850372314453;0.020606040954589844;0.49999956200190354;6899;333840
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;6;11.67385196685791;0.020606040954589844;0.5225586279993877;6899;356094
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;7;11.570064544677734;0.020606040954589844;0.5714565029920777;6899;378348
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;8;11.477092742919922;0.020606040954589844;0.6487744900077814;6899;400602
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;9;11.704870223999023;0.020606040954589844;0.6759213240002282;6899;422856
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;10;11.570415496826172;0.020606040954589844;0.7334193139977288;6899;445110
timestamped_insert;small;q_perf;complex_query;retrieve_live_data;1;141.40914916992188;0.021155357360839844;5.975204140995629;43470;244824
