write_operation;dataset_size;versioning_mode;query_type;procedure_to_evaluate;Increment;memory_in_MB;Memory_in_MB_instances;time_in_seconds;cnt_triples_dataset;cnt_triples_db
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;1;11.599374771118164;0.027402877807617188;0.3172496240003966;6899;244824
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;2;23.937451362609863;0.027402877807617188;0.5571270520013059;14317;267078
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;3;36.27518844604492;0.027402877807617188;0.7786680269928183;21735;289332
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;4;48.51936721801758;0.027402877807617188;0.9952663260046393;29153;311586
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;5;60.87289047241211;0.027402877807617188;1.285738771999604;36571;333840
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;6;73.20059204101562;0.027402877807617188;1.540690005000215;43989;356094
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;7;85.5108528137207;0.027402877807617188;1.7981330009934027;51407;378348
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;8;97.8027286529541;0.027402877807617188;2.0433273789967643;58825;400602
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;9;110.04024314880371;0.027402877807617188;2.2253168820025166;66243;422856
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;10;122.32474517822266;0.027402877807617188;2.49261793900223;73661;445110
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;1;11.482640266418457;0.020606040954589844;0.3518052599974908;6899;244824
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;2;11.70237922668457;0.020606040954589844;0.3567021159979049;6899;267078
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;3;11.475448608398438;0.020606040954589844;0.42548373799945693;6899;289332
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;4;11.69810962677002;0.020606040954589844;0.4772968100005528;6899;311586
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;5;11.563484191894531;0.020606040954589844;0.49448046801262535;6899;333840
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;6;11.685606956481934;0.020606040954589844;0.5827307819999987;6899;356094
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;7;11.562950134277344;0.020606040954589844;0.6162698139960412;6899;378348
