write_operation;dataset_size;versioning_mode;query_type;procedure_to_evaluate;Increment;Memory_in_MB;Time_in_Seconds;Memory_in_MB_instances
timestamped_update;big;q_perf;complex_query;re-cite_query;1;4.052350044250488;2.282365401999982;0.4241609573364258
timestamped_update;big;q_perf;complex_query;re-cite_query;2;5.041417121887207;0.4337518629999977;0.4241609573364258
timestamped_update;big;q_perf;complex_query;re-cite_query;3;6.047687530517578;0.4190358680000372;0.4241609573364258
timestamped_update;big;q_perf;complex_query;re-cite_query;4;6.8594970703125;0.4353955970000243;0.4241609573364258
timestamped_update;big;q_perf;complex_query;re-cite_query;5;7.816160202026367;0.4137126499999795;0.4241609573364258
timestamped_update;big;q_perf;complex_query;re-cite_query;6;8.634293556213379;0.4549110089999431;0.4241609573364258
timestamped_update;big;q_perf;complex_query;re-cite_query;7;8.634293556213379;0.42148465000013857;0.4241609573364258
timestamped_update;big;q_perf;complex_query;re-cite_query;8;8.634293556213379;0.445496219000006;0.4241609573364258
timestamped_update;big;q_perf;complex_query;re-cite_query;9;8.634293556213379;0.41731547499989574;0.4241609573364258
timestamped_update;big;q_perf;complex_query;re-cite_query;10;8.634293556213379;0.4249933300000066;0.4241609573364258
timestamped_update;big;mem_sav;complex_query;re-cite_query;1;8.634293556213379;0.47877145999996173;8.634293556213379
timestamped_update;big;mem_sav;complex_query;re-cite_query;2;8.634293556213379;0.44790796100005537;8.634293556213379
timestamped_update;big;mem_sav;complex_query;re-cite_query;3;8.634293556213379;0.6090451350000876;8.634293556213379
timestamped_update;big;mem_sav;complex_query;re-cite_query;4;8.634293556213379;0.438954737000131;8.634293556213379
timestamped_update;big;mem_sav;complex_query;re-cite_query;5;9.193950653076172;0.47786042000007;8.634293556213379
timestamped_update;big;mem_sav;complex_query;re-cite_query;6;9.193950653076172;0.44598872999995365;8.634293556213379
timestamped_update;big;mem_sav;complex_query;re-cite_query;7;9.193950653076172;0.4471360679999634;8.634293556213379
timestamped_update;big;mem_sav;complex_query;re-cite_query;8;9.193950653076172;0.4475808180000058;8.634293556213379
timestamped_update;big;mem_sav;complex_query;re-cite_query;9;9.193950653076172;0.46092824699985613;8.634293556213379
timestamped_update;big;mem_sav;complex_query;re-cite_query;10;9.346986770629883;0.4401973799999723;8.634293556213379
timestamped_update;big;q_perf;simple_query;re-cite_query;1;9.346986770629883;0.13094583999964016;9.346986770629883
