write_operation;dataset_size;versioning_mode;query_type;procedure_to_evaluate;Increment;memory_in_MB;Memory_in_MB_instances;time_in_seconds;cnt_triples_dataset;cnt_triples_db
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;1;11.598764419555664;0.02089214324951172;0.30136276700068265;6899;244824
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;2;23.93949794769287;0.02089214324951172;0.5496196510066511;14317;267078
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;3;36.27499771118164;0.02089214324951172;0.7769218979956349;21735;289332
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;4;48.51919937133789;0.02089214324951172;1.0076036190002924;29153;311586
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;5;60.872596740722656;0.02089214324951172;1.2485088760004146;36571;333840
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;6;73.20014762878418;0.02089214324951172;1.5296729930123547;43989;356094
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;7;85.510498046875;0.02089214324951172;1.7177223629987566;51407;378348
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;8;97.80227470397949;0.02089214324951172;1.9807538530003512;58825;400602
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;9;110.03984642028809;0.02089214324951172;2.122997327998746;66243;422856
timestamped_insert;small;q_perf;simple_query;retrieve_live_data;10;122.32415962219238;0.02089214324951172;2.3994005220010877;73661;445110
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;1;11.485966682434082;0.027399063110351562;0.3105742750049103;6899;244824
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;2;11.703420639038086;0.027399063110351562;0.3357167700014543;6899;267078
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;3;11.475391387939453;0.027399063110351562;0.3873485869989963;6899;289332
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;4;11.698052406311035;0.027399063110351562;0.41198162600630894;6899;311586
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;5;11.563426971435547;0.027399063110351562;0.46327057998860255;6899;333840
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;6;11.68554973602295;0.027399063110351562;0.5279111480049323;6899;356094
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;7;11.56289291381836;0.027399063110351562;0.6090870799962431;6899;378348
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;8;11.473033905029297;0.027399063110351562;0.6877553450030973;6899;400602
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;9;11.688879013061523;0.027399063110351562;0.6993056930077728;6899;422856
timestamped_insert;small;q_perf;simple_query;retrieve_history_data;10;11.70973014831543;0.027399063110351562;0.7415491179999663;6899;445110
timestamped_insert;small;q_perf;complex_query;retrieve_live_data;1;141.41295528411865;0.020606040954589844;7.070615348013234;43470;244824
timestamped_insert;small;q_perf;complex_query;retrieve_live_data;2;165.8958911895752;0.020606040954589844;7.29441021499224;50888;267078
timestamped_insert;small;q_perf;complex_query;retrieve_live_data;3;190.3238754272461;0.020606040954589844;8.276458862004802;58306;289332
timestamped_insert;small;q_perf;complex_query;retrieve_live_data;4;214.79775524139404;0.020606040954589844;9.752901200990891;65724;311586
timestamped_insert;small;q_perf;complex_query;retrieve_live_data;5;239.22052478790283;0.020606040954589844;10.567922040005215;73142;333840
timestamped_insert;small;q_perf;complex_query;retrieve_live_data;6;263.56950092315674;0.020606040954589844;11.911834643993643;80560;356094
timestamped_insert;small;q_perf;complex_query;retrieve_live_data;7;287.98768043518066;0.020606040954589844;13.027366169000743;87978;378348
timestamped_insert;small;q_perf;complex_query;retrieve_live_data;8;312.422926902771;0.020606040954589844;14.173714699994889;95396;400602
timestamped_insert;small;q_perf;complex_query;retrieve_live_data;9;336.7437000274658;0.020606040954589844;15.419112015995779;102814;422856
timestamped_insert;small;q_perf;complex_query;retrieve_live_data;10;361.1752862930298;0.020606040954589844;16.864032730998588;110232;445110
timestamped_insert;small;q_perf;complex_query;retrieve_history_data;1;141.40640830993652;0.02060985565185547;5.773165054997662;43470;244824
timestamped_insert;small;q_perf;complex_query;retrieve_history_data;2;141.41471099853516;0.02060985565185547;5.733797955996124;43470;267078
timestamped_insert;small;q_perf;complex_query;retrieve_history_data;3;141.41011810302734;0.02060985565185547;5.837920801001019;43470;289332
timestamped_insert;small;q_perf;complex_query;retrieve_history_data;4;141.4104461669922;0.02060985565185547;5.907705901001464;43470;311586
timestamped_insert;small;q_perf;complex_query;retrieve_history_data;5;141.4141616821289;0.02060985565185547;6.02553148700099;43470;333840
timestamped_insert;small;q_perf;complex_query;retrieve_history_data;6;141.40988159179688;0.02060985565185547;6.054136959006428;43470;356094
timestamped_insert;small;q_perf;complex_query;retrieve_history_data;7;141.4044418334961;0.02060985565185547;6.108243208000204;43470;378348
timestamped_insert;small;q_perf;complex_query;retrieve_history_data;8;141.41393280029297;0.02060985565185547;6.27021811499435;43470;400602
timestamped_insert;small;q_perf;complex_query;retrieve_history_data;9;141.40658569335938;0.02060985565185547;6.326209891005419;43470;422856
timestamped_insert;small;q_perf;complex_query;retrieve_history_data;10;141.41246795654297;0.02060985565185547;6.299060033998103;43470;445110
timestamped_insert;small;mem_sav;simple_query;retrieve_live_data;1;11.702474594116211;0.02086162567138672;0.7917092160059838;6899;163216
timestamped_insert;small;mem_sav;simple_query;retrieve_live_data;2;23.802968978881836;0.02086162567138672;0.9341647359979106;14317;185470
timestamped_insert;small;mem_sav;simple_query;retrieve_live_data;3;36.14620018005371;0.02086162567138672;0.8610796900029527;21735;207724
timestamped_insert;small;mem_sav;simple_query;retrieve_live_data;4;48.52609634399414;0.02086162567138672;1.131032295001205;29153;229978
timestamped_insert;small;mem_sav;simple_query;retrieve_live_data;5;60.877986907958984;0.02086162567138672;1.4180320209998172;36571;252232
timestamped_insert;small;mem_sav;simple_query;retrieve_live_data;6;73.20664596557617;0.02086162567138672;1.626087008000468;43989;274486
timestamped_insert;small;mem_sav;simple_query;retrieve_live_data;7;85.50396156311035;0.02086162567138672;1.8871450429869583;51407;296740
timestamped_insert;small;mem_sav;simple_query;retrieve_live_data;8;97.79313659667969;0.02086162567138672;2.1385145069943974;58825;318994
timestamped_insert;small;mem_sav;simple_query;retrieve_live_data;9;110.04525184631348;0.02086162567138672;2.423185966006713;66243;341248
timestamped_insert;small;mem_sav;simple_query;retrieve_live_data;10;122.31780052185059;0.02086162567138672;2.658235399998375;73661;363502
timestamped_insert;small;mem_sav;simple_query;retrieve_history_data;1;11.61396312713623;0.020606040954589844;0.32672322999860626;6899;163216
timestamped_insert;small;mem_sav;simple_query;retrieve_history_data;2;11.607738494873047;0.020606040954589844;0.37864701899525244;6899;185470
timestamped_insert;small;mem_sav;simple_query;retrieve_history_data;3;11.474309921264648;0.020606040954589844;0.4808359210001072;6899;207724
timestamped_insert;small;mem_sav;simple_query;retrieve_history_data;4;11.60249137878418;0.020606040954589844;0.5657620639976813;6899;229978
timestamped_insert;small;mem_sav;simple_query;retrieve_history_data;5;11.475507736206055;0.020606040954589844;0.6827680819988018;6899;252232
timestamped_insert;small;mem_sav;simple_query;retrieve_history_data;6;11.598005294799805;0.020606040954589844;0.735476062996895;6899;274486
timestamped_insert;small;mem_sav;simple_query;retrieve_history_data;7;11.693066596984863;0.020606040954589844;0.8252576770028099;6899;296740
timestamped_insert;small;mem_sav;simple_query;retrieve_history_data;8;11.473051071166992;0.020606040954589844;0.9474928250128869;6899;318994
timestamped_insert;small;mem_sav;simple_query;retrieve_history_data;9;11.641441345214844;0.020606040954589844;1.014935836996301;6899;341248
timestamped_insert;small;mem_sav;simple_query;retrieve_history_data;10;11.478567123413086;0.020606040954589844;1.125789548998;6899;363502
timestamped_insert;small;mem_sav;complex_query;retrieve_live_data;1;141.41065502166748;0.02093791961669922;6.228391190990806;43470;163216
timestamped_insert;small;mem_sav;complex_query;retrieve_live_data;2;165.89531993865967;0.02093791961669922;7.43386376700073;50888;185470
timestamped_insert;small;mem_sav;complex_query;retrieve_live_data;3;190.32698345184326;0.02093791961669922;8.660919660003856;58306;207724
timestamped_insert;small;mem_sav;complex_query;retrieve_live_data;4;214.79899406433105;0.02093791961669922;9.934895762999076;65724;229978
timestamped_insert;small;mem_sav;complex_query;retrieve_live_data;5;239.22140312194824;0.02093791961669922;11.152511855994817;73142;252232
timestamped_insert;small;mem_sav;complex_query;retrieve_live_data;6;263.5694284439087;0.02093791961669922;12.364779205992818;80560;274486
timestamped_insert;small;mem_sav;complex_query;retrieve_live_data;7;287.98364448547363;0.02093791961669922;13.71819592700922;87978;296740
timestamped_insert;small;mem_sav;complex_query;retrieve_live_data;8;312.4211616516113;0.02093791961669922;14.97432796000794;95396;318994
timestamped_insert;small;mem_sav;complex_query;retrieve_live_data;9;336.74504375457764;0.02093791961669922;16.277085047011496;102814;341248
timestamped_insert;small;mem_sav;complex_query;retrieve_live_data;10;361.1750373840332;0.02093791961669922;17.796890917001292;110232;363502
timestamped_insert;small;mem_sav;complex_query;retrieve_history_data;1;141.40685367584229;0.021155357360839844;6.296299623994855;43470;163216
timestamped_insert;small;mem_sav;complex_query;retrieve_history_data;2;141.41173934936523;0.021155357360839844;6.189215135993436;43470;185470
timestamped_insert;small;mem_sav;complex_query;retrieve_history_data;3;141.41015243530273;0.021155357360839844;6.446493512994493;43470;207724
timestamped_insert;small;mem_sav;complex_query;retrieve_history_data;4;141.41048049926758;0.021155357360839844;6.55133664800087;43470;229978
timestamped_insert;small;mem_sav;complex_query;retrieve_history_data;5;141.4141960144043;0.021155357360839844;6.7788661170052364;43470;252232
timestamped_insert;small;mem_sav;complex_query;retrieve_history_data;6;141.40991592407227;0.021155357360839844;6.971740677996422;43470;274486
timestamped_insert;small;mem_sav;complex_query;retrieve_history_data;7;141.40447616577148;0.021155357360839844;7.181539908007835;43470;296740
timestamped_insert;small;mem_sav;complex_query;retrieve_history_data;8;141.41396713256836;0.021155357360839844;7.355436191006447;43470;318994
